Date,High,Low,Open,Close,Volume,Adj Close
2017-01-03,33.92,33.1,33.15,33.13,4397097.0,32.99
2017-01-04,33.4,32.81,32.98,33.05,4930804.0,32.91
2017-01-05,33.54,32.55,33.04,32.59,6025238.0,32.46
2017-01-06,32.77,32.24,32.5,32.26,3294742.0,32.13
2017-01-09,32.48,31.87,32.26,32.34,3059000.0,32.21
2017-01-10,32.45,32.21,32.3,32.4,2945511.0,32.27
2017-01-11,32.64,32.24,32.38,32.28,3004921.0,32.15
2017-01-12,32.54,31.51,32.36,31.51,4048812.0,31.38
2017-01-13,31.65,31.0,31.5,31.03,3242678.0,30.9
2017-01-16,31.48,29.05,30.59,30.41,5076785.0,30.28
2017-01-17,30.68,29.49,30.61,30.38,4639554.0,30.25
2017-01-18,30.47,29.9,30.26,29.91,2631923.0,29.79
2017-01-19,30.07,29.62,29.65,29.91,2377133.0,29.79
2017-01-20,30.66,29.9,29.92,30.52,3377460.0,30.39
2017-01-23,30.88,30.51,30.59,30.6,2596401.0,30.47
2017-01-24,31.23,30.33,30.5,30.88,3818872.0,30.75
2017-01-25,31.14,30.57,30.63,30.99,2961707.0,30.86
2017-01-26,31.16,30.83,31.03,30.9,2224186.0,30.77
2017-02-03,31.06,30.7,30.9,30.9,1941787.0,30.77
2017-02-06,31.05,30.62,30.71,30.95,2115844.0,30.82
2017-02-07,31.35,30.95,30.95,31.15,3675512.0,31.02
2017-02-08,31.36,30.82,31.17,31.36,3684338.0,31.23
2017-02-09,31.88,31.25,31.42,31.5,5090608.0,31.37
2017-02-10,31.94,31.17,31.42,31.45,4821766.0,31.32
2017-02-13,31.44,31.03,31.44,31.27,4044470.0,31.14
2017-02-14,31.39,31.19,31.29,31.23,2838644.0,31.1
2017-02-15,31.28,30.6,31.28,30.94,4543989.0,30.81
2017-02-16,31.15,30.71,30.91,30.97,2761954.0,30.84
2017-02-17,31.09,30.65,31.0,30.88,3231781.0,30.75
2017-02-20,30.88,30.88,30.88,30.88,0.0,30.75
2017-02-21,30.88,30.88,30.88,30.88,0.0,30.75
2017-02-22,30.88,30.88,30.88,30.88,0.0,30.75
2017-02-23,30.88,30.88,30.88,30.88,0.0,30.75
2017-02-24,30.88,30.88,30.88,30.88,0.0,30.75
2017-02-27,30.88,30.88,30.88,30.88,0.0,30.75
2017-02-28,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-01,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-02,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-03,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-06,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-07,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-08,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-09,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-10,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-13,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-14,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-15,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-16,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-17,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-20,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-21,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-22,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-23,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-24,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-27,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-28,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-29,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-30,30.88,30.88,30.88,30.88,0.0,30.75
2017-03-31,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-05,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-06,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-07,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-10,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-11,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-12,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-13,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-14,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-17,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-18,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-19,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-20,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-21,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-24,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-25,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-26,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-27,30.88,30.88,30.88,30.88,0.0,30.75
2017-04-28,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-02,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-03,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-04,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-05,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-08,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-09,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-10,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-11,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-12,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-15,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-16,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-17,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-18,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-19,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-22,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-23,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-24,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-25,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-26,30.88,30.88,30.88,30.88,0.0,30.75
2017-05-31,30.88,30.88,30.88,30.88,0.0,30.75
2017-06-01,30.88,30.88,30.88,30.88,0.0,30.75
2017-06-02,30.88,30.88,30.88,30.88,0.0,30.75
2017-06-05,30.88,30.88,30.88,30.88,0.0,30.75
2017-06-06,30.88,30.88,30.88,30.88,0.0,30.75
2017-06-07,30.88,30.88,30.88,30.88,0.0,30.75
2017-06-08,30.88,30.88,30.88,30.88,0.0,30.75
2017-06-09,30.88,30.88,30.88,30.88,0.0,30.75
2017-06-12,30.88,30.88,30.88,30.88,0.0,30.75
2017-06-13,30.88,30.88,30.88,30.88,0.0,30.75
2017-06-14,30.88,30.88,30.88,30.88,0.0,30.81
2017-06-15,30.88,30.88,30.88,30.88,0.0,30.81
2017-06-16,30.88,30.88,30.88,30.88,0.0,30.81
2017-06-19,30.88,30.88,30.88,30.88,0.0,30.81
2017-06-20,30.88,30.88,30.88,30.88,0.0,30.81
2017-06-21,30.88,30.88,30.88,30.88,0.0,30.81
2017-06-22,30.88,30.88,30.88,30.88,0.0,30.81
2017-06-23,30.88,30.88,30.88,30.88,0.0,30.81
2017-06-26,30.88,30.88,30.88,30.88,0.0,30.81
2017-06-27,30.88,30.88,30.88,30.88,0.0,30.81
2017-06-28,30.88,30.88,30.88,30.88,0.0,30.81
2017-06-29,30.88,30.88,30.88,30.88,0.0,30.81
2017-06-30,30.88,30.88,30.88,30.88,0.0,30.81
2017-07-03,30.88,30.88,30.88,30.88,0.0,30.81
2017-07-04,30.88,30.88,30.88,30.88,0.0,30.81
2017-07-05,30.88,30.88,30.88,30.88,0.0,30.81
2017-07-06,30.88,30.88,30.88,30.88,0.0,30.81
2017-07-07,30.88,30.88,30.88,30.88,0.0,30.81
2017-07-10,30.88,30.88,30.88,30.88,0.0,30.81
2017-07-11,30.88,30.88,30.88,30.88,0.0,30.81
2017-07-12,30.88,30.88,30.88,30.88,0.0,30.81
2017-07-13,30.88,30.88,30.88,30.88,0.0,30.81
2017-07-14,30.88,30.88,30.88,30.88,0.0,30.81
2017-07-17,27.74,27.74,27.74,27.74,1318400.0,27.68
2017-07-18,25.58,24.97,24.97,24.97,18958536.0,24.91
2017-07-19,25.11,23.68,24.68,24.22,17591742.0,24.16
2017-07-20,25.16,23.99,24.22,25.03,16064794.0,24.97
2017-07-21,26.16,25.08,25.08,25.32,12887901.0,25.26
2017-07-24,25.14,24.65,25.0,24.97,6794699.0,24.91
